#{"t_start": 1760498714.7767859, "env_id": "CartPole-v1"}
r,l,t
22.0,22,0.519058
47.0,47,0.52636
10.0,10,0.527948
20.0,20,0.531002
15.0,15,0.533503
12.0,12,0.535478
14.0,14,0.537605
20.0,20,0.54057
16.0,16,0.542939
29.0,29,0.547243
25.0,25,0.551307
75.0,75,0.562503
22.0,22,0.565739
18.0,18,0.568566
10.0,10,0.570063
10.0,10,0.571548
17.0,17,0.574053
24.0,24,0.577591
20.0,20,0.580535
41.0,41,0.586757
16.0,16,0.589146
23.0,23,0.592526
12.0,12,0.594348
13.0,13,0.596275
58.0,58,0.605381
14.0,14,0.607556
23.0,23,0.611078
25.0,25,0.614868
10.0,10,0.616537
17.0,17,0.619088
16.0,16,0.621477
23.0,23,0.624859
21.0,21,0.627959
29.0,29,0.632212
21.0,21,0.635604
24.0,24,0.639298
26.0,26,0.643257
18.0,18,0.646033
20.0,20,0.649122
29.0,29,0.653509
17.0,17,0.656149
23.0,23,0.659824
28.0,28,0.664538
10.0,10,0.666735
31.0,31,0.671948
17.0,17,0.675204
20.0,20,0.678313
11.0,11,0.680014
14.0,14,0.682454
30.0,30,0.688267
16.0,16,0.691098
13.0,13,0.693149
43.0,43,0.700257
14.0,14,0.702464
12.0,12,0.704308
14.0,14,0.706443
32.0,32,0.711867
14.0,14,0.71412
56.0,56,0.723316
43.0,43,0.730494
16.0,16,0.733463
24.0,24,0.73708
24.0,24,0.740777
14.0,14,0.743349
12.0,12,0.745296
25.0,25,0.749186
51.0,51,0.756903
18.0,18,0.75962
44.0,44,0.766309
23.0,23,0.769922
17.0,17,0.772546
15.0,15,0.774872
15.0,15,0.777209
21.0,21,0.780401
20.0,20,0.783601
18.0,18,0.786393
18.0,18,0.78917
27.0,27,0.793426
37.0,37,0.798914
23.0,23,0.802491
13.0,13,0.804421
19.0,19,0.807232
17.0,17,0.809748
13.0,13,0.811681
34.0,34,0.816851
19.0,19,0.819796
23.0,23,0.823318
13.0,13,0.825299
14.0,14,0.827428
37.0,37,0.833146
50.0,50,1.351865
64.0,64,1.362227
13.0,13,1.364799
53.0,53,1.373162
28.0,28,1.377489
24.0,24,1.38119
22.0,22,1.384703
29.0,29,1.389174
12.0,12,1.391026
14.0,14,1.393202
17.0,17,1.39584
29.0,29,1.400507
38.0,38,1.406642
51.0,51,1.414701
32.0,32,1.419883
73.0,73,1.430917
18.0,18,1.433741
27.0,27,1.437876
19.0,19,1.440765
